month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease,year
3,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,06 TO 10,68.0,New Generation,1981,338000.0,68,2012
3,ANG MO KIO,3 ROOM,114,ANG MO KIO AVE 4,01 TO 05,73.0,New Generation,1978,339000.0,65,2012
3,ANG MO KIO,3 ROOM,151,ANG MO KIO AVE 5,06 TO 10,68.0,New Generation,1981,339000.0,68,2012
3,ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,06 TO 10,68.0,New Generation,1981,340000.0,68,2012
3,ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,01 TO 05,67.0,New Generation,1978,340000.0,65,2012
3,ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,01 TO 05,69.0,New Generation,1980,342000.0,67,2012
3,ANG MO KIO,3 ROOM,604,ANG MO KIO AVE 5,01 TO 05,67.0,New Generation,1980,342000.0,67,2012
3,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1976,347000.0,63,2012
3,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,01 TO 05,74.0,New Generation,1979,348000.0,66,2012
3,ANG MO KIO,3 ROOM,549,ANG MO KIO AVE 10,16 TO 20,68.0,New Generation,1981,350000.0,68,2012
3,ANG MO KIO,3 ROOM,201,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1977,350000.0,64,2012
3,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,06 TO 10,67.0,New Generation,1980,350000.0,67,2012
3,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,11 TO 15,67.0,New Generation,1980,350000.0,67,2012
3,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1979,353000.0,66,2012
3,ANG MO KIO,3 ROOM,623,ANG MO KIO AVE 9,11 TO 15,68.0,New Generation,1980,355000.0,67,2012
3,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,06 TO 10,68.0,New Generation,1980,357000.0,67,2012
3,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1978,358000.0,65,2012
3,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,06 TO 10,67.0,New Generation,1978,360000.0,65,2012
3,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,01 TO 05,74.0,New Generation,1979,363000.0,66,2012
3,ANG MO KIO,3 ROOM,607,ANG MO KIO AVE 4,11 TO 15,68.0,New Generation,1980,367000.0,67,2012
3,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,06 TO 10,73.0,New Generation,1976,368000.0,63,2012
3,ANG MO KIO,3 ROOM,103,ANG MO KIO AVE 3,06 TO 10,73.0,New Generation,1978,368000.0,65,2012
3,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1979,368000.0,66,2012
3,ANG MO KIO,3 ROOM,127,ANG MO KIO AVE 3,01 TO 05,67.0,New Generation,1978,368000.0,65,2012
3,ANG MO KIO,3 ROOM,159,ANG MO KIO AVE 4,01 TO 05,82.0,New Generation,1980,368000.0,67,2012
3,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1978,370000.0,65,2012
3,ANG MO KIO,3 ROOM,173,ANG MO KIO AVE 4,01 TO 05,83.0,New Generation,1982,372000.0,69,2012
3,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,06 TO 10,74.0,New Generation,1979,373000.0,66,2012
3,ANG MO KIO,3 ROOM,585,ANG MO KIO AVE 3,11 TO 15,67.0,New Generation,1979,377000.0,66,2012
