Date,_10Y_Treasury,S_P,STI,month,year
2021-03,1.746000051,3972.889893,3165.340088,3,2021
2015-03,1.934000015,2067.889893,3447.01001,3,2015
2011-04,3.296000004,1363.609985,3172.72998,4,2011
2019-04,2.509000063,2945.830078,3400.199951,4,2019
2010-04,3.663000107,1186.689941,2974.610107,4,2010
2015-04,2.046000004,2085.51001,3487.389893,4,2015
1990-04,9.039999962,330.7999878,1458.400024,4,1990
2013-04,1.674999952,1597.569946,3368.179932,4,2013
2016-04,1.819000006,2065.300049,2838.52002,4,2016
2022-04,2.887000084,4131.930176,3356.899902,4,2022
2005-04,4.201000214,1156.849976,2125.25,4,2005
2000-04,6.214000225,1452.430054,2164.110107,4,2000
2014-04,2.648000002,1883.949951,3264.709961,4,2014
2017-04,2.282000065,2384.199951,3175.439941,4,2017
1993-04,6.050000191,440.1900024,1783.599976,4,1993
1992-04,7.610000134,414.9500122,1466,4,1992
2001-04,5.337999821,1249.459961,1722.719971,4,2001
2007-04,4.630000114,1482.369995,3361.290039,4,2007
2012-04,1.914999962,1397.910034,2978.570068,4,2012
1999-04,5.349999905,1335.180054,1886.189941,4,1999
2009-04,3.124000072,872.8099976,1920.280029,4,2009
2018-04,2.936000109,2648.050049,3613.929932,4,2018
2021-04,1.631000042,4181.169922,3218.27002,4,2021
1996-04,6.632999897,654.1699829,2415.699951,4,1996
2002-04,5.09100008,1076.920044,1725.369995,4,2002
1994-04,7.034999847,450.9100037,2296.199951,4,1994
2020-04,0.621999979,2912.429932,2624.22998,4,2020
2008-04,3.759000063,1385.589966,3147.790039,4,2008
1997-04,6.702000141,801.3400269,2004.300049,4,1997
1991-04,8.020000458,375.3399963,1553.900024,4,1991
2004-04,4.500999928,1107.300049,1842.030029,4,2004
1995-04,7.046000004,514.710022,2071.300049,4,1995
2006-04,5.068999767,1310.609985,2610.709961,4,2006
2003-04,3.857000113,916.9199829,1281.329956,4,2003
1998-04,5.666999817,1111.75,1493.400024,4,1998
2012-05,1.58099997,1310.329956,2772.540039,5,2012
2003-05,3.349999905,963.5900269,1349,5,2003
2009-05,3.464999914,919.1400146,2329.080078,5,2009
1999-05,5.611000061,1301.839966,1903.859985,5,1999
2020-05,0.6480000019,3044.310059,2510.75,5,2020
1991-05,8.06000042,389.8299866,1554.199951,5,1991
2004-05,4.65500021,1120.680054,1788.660034,5,2004
1993-05,6.159999847,450.1900024,1894.400024,5,1993
2011-05,3.049999952,1345.199951,3159.929932,5,2011
2019-05,2.14199996,2752.060059,3117.76001,5,2019
1994-05,7.15199995,456.5,2281.699951,5,1994
2000-05,6.284999847,1420.599976,1795.130005,5,2000
2015-05,2.095000029,2107.389893,3392.110107,5,2015
1990-05,8.600000381,361.230011,1553.599976,5,1990
1996-05,6.843999863,669.1199951,2332.899902,5,1996
